label,article
<IR>,Kerry’s plan will raise taxes by at least $900 billion his first hundred days.
<IR>,"Person 1: “I am for raising the minimum wage in our state.” Person 2: “She is for raising the minimum wage, but she is not even smart enough to run a business."
<IR>,"The majority of students are in favor of changing the colors of the graduation gowns to a single color to not exclude those that are non-binary, but a few people complained it wasn't ""tradition"" , so let's meet in the middle and just allow students to not attend graduation if they don't want to wear the traditional black and gold."
<G>,"""No one stops to process...No one appreciates the value"" is an example of"
<FE>,"If you don’t say the Pledge of Allegiance, then you must be a traitor."
<IR>,How many times per day do you beat your wife?
<WCB>,"The Church used to claim that giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so clearly giving money to the Church is a scam!"
<G>,You have a friend who claims that cats like to go to windows and watch sunsets because that is what her cats does. What fallacy has she committed?
<IR>,"""Drivers in Richmond are terrible. Why does everyone in a big city drive like that?"""
<IR>,"Student: Hey, Professor Moore, we shouldn't have to read this book by Freud. Everyone knows he used cocaine."
<FE>,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"
<WCB>,"Every time I was my car, it rains. Me washing my car has a definite effect on the weather."
<IR>,"Representative Gutierrez of Illinois, arguing in Congress on July 11, 1996, replying to Republicans arguing in favor of the ""Defense of Marriage Act"", a bill stipulating that 'marriage' be defined as being between a man and a woman only, excluding homosexual marriages: ""I now realize that my friends on the other side of the aisle aren't the least bit serious when they talk about how important it is for the federal government not to interfere in the lives of our people. I understand that they are just kidding - just teasing us - when they stress the importance of taking power out of Washington and giving it to local officials. And now I know that their biggest joke of all is that old line about family values - all that talk about encouraging people to care about and be committed to each other."""
<G>,Everyone knows that teenagers are lazy
<IR>,"World-renowned physicist Dr. Patricia Mitchell assures me that exposure to natural sunlight, even exposure resulting in mild sunburn, is still significantly less of a cancer risk than brief exposure to the artificial light in a tanning bed. So I make sure to tell all of my friends that if they’re looking to get a tan this summer they should do it outdoors, and not at the tanning salon!"
<IR>,The candidate for mayor was a really bad baseball player in college! Don't vote for him!
<FU>,"Millions of people are Marxists, so Marxist economic and political theories are  correct."
<IR>,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday."
<WCB>,"P1. A sedentary lifestyle contributes to obesity.
P2. People have become more sedentary in the last few decades.
C. Therefore, the rise in obesity can be fixed by people getting more exercise."
<IR>,A mother tells her children not to leave the yard because there might be wild animals in the woods.
<FU>,"This technique uses the logic: Everyone else is doing it, you should too!"
<WCB>,"I broke my mirror this morning, AND I failed my History test. I must've failed because the mirror gave me bad luck."
<IR>,"Only a selfish, non-caring person would believe that this is ok."
<IR>,"Same-sex marriage must be prohibited, or the family structure as we know it will  collapse."
<IR>,"Being mean to others is wrong.
Therefore, it cannot possibly be part of our nature."
<FE>,"""Either you are for us, or you're against us!"""
<G>,"We should go inside; the last time the clouds were that dark, there was a tornado."
<IR>,"Mom: Remember, dear. Nobody's going to buy the cow if they get the milk for free.
Daughter: You are only saying that because you are my mother.
Daughter: Wait... did you just call me a cow?
"
<IR>,I can’t take home a B in this course. My parents will be angry with me.
<DEP>,I don't understand why you're saying I broke a promise. I said I'd never speak to my ex-girlfriend again. And I didn't. I just sent her some pictures and text messages.
<IR>,"""You're not Kenyan enough to be a good leader in Kenya."""
<FU>,You should listen to Ellie Goulding because everyone is listening to her music.
<RR>,"Violent video games cause teens to be violent, because violent teens play violent video games."
<IR>,"An ad claims that 3 out of 4 real estate agents reccommend moving to Sunnyville, California."
<IR>,The Geo Metro is a superior car because it averages 43 miles per gallon.
<FE>,"“Eat great food at our restaurant, or eat sad, boring meals at home.”"
<WCB>,Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.
<IR>,"You can’t prove your candidate will win, so I assume he won’t"
<G>,gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.
<IR>,"There is no concrete proof that Duterte himself is corrupt; therefore, he is an honest politician."
<WCB>,Someone really should move this ‘deer crossing’ sign. This is a dangerous stretch of highway and the deer really should be crossing somewhere else.
<IR>,"An advertisement asking people to give to St. Jude Research Center to help children struggling with cancer. You wouldn't want to let these children die, right?"
<IR>,"Service Tech: Your car could use some new tires.
Bart: You have a financial interest in selling me tires, why should I trust you?
Service Tech: You brought your car to me to have it checked, sir.
Bart: I brought my car to the shop where you work.
Service Tech: So should we forget about the new tires for now?
Bart: I never suggested that.  Are you trying to use reverse psychology on me, so I will buy the tires?
"
<WCB>,The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party.
<G>,"If we let the government ban SUVs, then they're going to want to ban trucks! Then they'll want to ban sports cars! Then they'll want to ban all cars!"
<WCB>,Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews
<IR>,"Recently, we highlighted a British journalist’s story about the underside of Dubai’s startling ascent. Some in Dubai called foul, including one writer who wants to remind Britons that their own country has a dark side. After all, what to think of a country in which one-fifth of the population lives in poverty?"
<IR>,"My opponent is an untrustworthy liar and an idiot. Therefore, you should believe me."
<IR>,"Bertrand declares that a teapot is, at this very moment, in orbit around the Sun between the Earth and Mars, and that because no one can prove him wrong, his claim is therefore a valid one."
<IR>,We should abolish the death penalty. Even Judge Judy is opposed to it.
<WCB>,very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.
<IR>,“We shouldn’t even bother to interview that job applicant. He has a beard.”
<IR>,"A book argues that global warming is not actually happening, and cites the research of one environmental scientist who has been studying climate change for several years."
<IR>,Words with strong feelings that bring about feelings in the reader. Strong words (+ or -) specifically used to sway the reader
<RR>,The president of Honduras is a good leader because he is a leader of the country. This is an example of which common fallacy?
<FE>,"""To get better schools, we have to raise taxes. If we don't, we can't have better schools."""
<RR>,All hunting is inhumane and should be outlawed.
<G>,"Besides charities, comfort, community cohesion, rehabilitation, and helping children learn values, religion poisons everything."
<IR>,"""Andrea Dworkin has written several books arguing that the media harms women when it comes to body image. But Dworkin is an ugly, bitter person, so you shouldn't listen to her."""
<DEP>,"The fallacy of equivocation occurs when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument."
<WCB>,"I have flipped heads five times in a row.  As a result, the next flip will probably be tails."
<IR>,A little boy says that his friends should not go swimming in a river because his Mama said there were germs in the river.
<G>,There was a fight at school today. Violence is a growing problem in school.
<IR>,"My cousin Bob works as a mechanic at Oil Changers and he says that renewable energy sources, such as solar and wind power, aren't going to provide any help in fixing our nation's energy crisis."
<IR>,"""Every 0.008 seconds in the United States, a teen accidentally shatters his/her phone screen. You can help put an end to these devastating tragedies: donate now to my Kickstarter fund, the new Bubble-wrap Phone Case X."""
<IR>,We cannot listen to John’s opinion on global warming because he is a tree hugger.
<FE>,"Either you believe what I’m saying, or you must believe exactly the opposite."
<IR>,"""You asked me why the unemployment rate has increased once more, but I'm going to tell you what has an even worse effect on morale in this country."""
<G>,"""The building is closed. I saw 2 people standing outside the door.""What is this type of logical fallacy?"
<IR>,"If we don’t bail out the big automakers, the US economy will collapse.  Therefore, we need to bail out the automakers."
<IR>,Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.
<IR>,We have a responsibility to care for this poor lost dog.
<IR>,"Billy - ""An apple is a vegetable."" Bobby - ""Don't listen to Billy; he failed Spanish class last year. """
<IR>,I know in my heart of hearts that our home team will win the World Series.
<IR>,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo."
<WCB>,"I knew I should have helped that old lady across the road.  Because I didn’t, I have been having bad Karma all day."
<WCB>,I sneezed at the same time the power went off. My sneeze did something to make the power go off.
<FU>,This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed.
<FE>,"If it wasn't a missile, a bomb, or mechanical failure, then all that's left is a meteorite."
<IR>,Let's talk about Glaucon. Where did you get the poison you used on him?
<IR>,"""If you don't believe in God, you'll go to hell!"" is an example of:"
<IR>,an attempt to persuade the reader/audience based on feelings or emotions; emotional response
<IR>,"To justify support for a position by citing an esteemed or well-known figure who supports it.

Para justificar el apoyo a una posición citando a una figura estimada o conocida que lo apoya."
<G>,"My first time walking the dog went terribly, so my dog is a terrible one."
<G>,"""I have one Japanese friend and it's true that all of them are numb."""
<RR>,Order is necessary to justice because justice can only be achieved by a program of social and legal order.
<IR>,"Hi, I’m Troy McClure. You might remember me from such films as The Day the Peacock Died. After filming scenes with feathered co-stars all day, there’s nothing I enjoy more than a bucket of Buster’s Chicken. It’s chickentastic!"
